 MDM      Mh1     Mh2      Mhc      ld345        ld         Omega       protonSI     Br(H->h1h1)    Br(H->h2h2)   Br(H->h-h+)     Width_H      HB     HS      R      v_stab     LEP    S        T   
20.00   20.00   201.00   201.00   2.000E-01   1.500E-01   3.013E-01    4.010E-07     9.765E-01      0.000E+00     0.000E+00     1.811E-01      0      0    1.000      3        1    -0.022    0.000 
21.00   21.00   201.00   201.00   2.000E-01   1.500E-01   2.946E-01    3.633E-07     9.764E-01      0.000E+00     0.000E+00     1.801E-01      0      0    1.000      3        1    -0.022    0.000 
22.00   22.00   201.00   201.00   2.000E-01   1.500E-01   2.877E-01    3.306E-07     9.762E-01      0.000E+00     0.000E+00     1.790E-01      0      0    1.000      3        1    -0.022    0.000 
23.00   23.00   201.00   201.00   2.000E-01   1.500E-01   2.806E-01    3.021E-07     9.761E-01      0.000E+00     0.000E+00     1.778E-01      0      0    1.000      3        1    -0.021    0.000 
24.00   24.00   201.00   201.00   2.000E-01   1.500E-01   2.734E-01    2.771E-07     9.759E-01      0.000E+00     0.000E+00     1.766E-01      0      0    1.000      3        1    -0.021    0.000 
25.00   25.00   201.00   201.00   2.000E-01   1.500E-01   2.659E-01    2.550E-07     9.757E-01      0.000E+00     0.000E+00     1.753E-01      0      0    1.000      3        1    -0.021    0.000 
26.00   26.00   201.00   201.00   2.000E-01   1.500E-01   2.582E-01    2.355E-07     9.756E-01      0.000E+00     0.000E+00     1.740E-01      0      0    1.000      3        1    -0.021    0.000 
27.00   27.00   201.00   201.00   2.000E-01   1.500E-01   2.504E-01    2.180E-07     9.754E-01      0.000E+00     0.000E+00     1.726E-01      0      0    1.000      3        1    -0.021    0.000 
28.00   28.00   201.00   201.00   2.000E-01   1.500E-01   2.423E-01    2.025E-07     9.751E-01      0.000E+00     0.000E+00     1.712E-01      0      0    1.000      3        1    -0.021    0.000 
29.00   29.00   201.00   201.00   2.000E-01   1.500E-01   2.340E-01    1.885E-07     9.749E-01      0.000E+00     0.000E+00     1.696E-01      0      0    1.000      3        1    -0.021    0.000 
30.00   30.00   201.00   201.00   2.000E-01   1.500E-01   2.255E-01    1.759E-07     9.747E-01      0.000E+00     0.000E+00     1.680E-01      0      0    1.000      3        1    -0.021    0.000 
