 Mh1    ld345      SR      cs_(fb)   
 10.0   0.013408   6   3.1892E+00 
 29.0   0.014154   5   5.1997E+00 
 48.0   0.016646   6   3.1896E+00 
 67.0   1.625000   6   1.4384E+00 
 86.0   1.710000   6   3.2350E-01 
 105.0   1.823000   7   7.2161E-02 
 124.0   1.956000   7   4.6431E-02 
 143.0   2.151000   6   7.6202E-02 
 162.0   2.331000   7   2.6595E-02 
 181.0   2.539000   7   2.1396E-02 
 200.0   2.756000   7   1.7652E-02 
