 Mh1     pp>h1h1H        pp>h1h1j        pp>h1h1Z        pp>h1h2j        pp>h1h2H 
 10      5.1624E+01      1.4900E+03      8.3849E+01      1.9569E+04      6.4208E+00 
 15      5.1644E+01      1.4893E+03      8.3555E+01      1.7679E+04      5.8615E+00 
 20      5.1543E+01      1.4847E+03      8.3201E+01      1.5294E+04      5.0866E+00 
 25      5.1489E+01      1.4775E+03      8.2880E+01      1.2357E+04      4.2096E+00 
 30      5.1288E+01      1.4741E+03      8.2453E+01      9.0955E+03      3.2190E+00 
 35      5.1179E+01      1.4727E+03      8.2057E+01      5.7245E+03      2.2063E+00 
 40      5.0969E+01      1.4661E+03      8.1500E+01      2.6049E+03      1.2680E+00 
 45      5.0897E+01      1.4615E+03      8.1225E+01      4.8668E+02      5.9808E-01 
 50      5.0808E+01      1.4530E+03      8.0627E+01      1.9377E+02      4.4089E-01 
 55      5.0729E+01      1.4475E+03      8.0201E+01      1.3110E+02      3.6717E-01 
 60      5.0790E+01      1.4493E+03      8.0044E+01      9.7519E+01      3.1198E-01 
 65      4.5300E+00      1.1694E+02      6.0676E+00      7.5842E+01      2.6834E-01 
 70      1.8880E+00      4.4387E+01      2.1969E+00      6.0713E+01      2.3196E-01 
 75      1.1627E+00      2.5460E+01      1.2340E+00      4.9755E+01      2.0165E-01 
 80      8.1085E-01      1.6803E+01      8.0336E-01      4.1335E+01      1.7653E-01 
 85      6.0362E-01      1.1878E+01      5.6515E-01      3.4753E+01      1.5461E-01 
 90      4.6864E-01      8.8209E+00      4.1991E-01      2.9540E+01      1.3605E-01 
 95      3.7311E-01      6.7394E+00      3.2273E-01      2.5340E+01      1.1986E-01 
 100      3.0410E-01      5.2965E+00      2.5571E-01      2.1868E+01      1.0608E-01 
 105      2.5160E-01      4.2247E+00      2.0711E-01      1.9048E+01      9.4021E-02 
 110      2.1106E-01      3.4298E+00      1.7071E-01      1.6666E+01      8.3594E-02 
 115      1.7889E-01      2.8183E+00      1.4265E-01      1.4668E+01      7.4587E-02 
 120      1.5260E-01      2.3449E+00      1.2084E-01      1.2958E+01      6.6598E-02 
 125      1.3138E-01      1.9582E+00      1.0353E-01      1.1507E+01      5.9601E-02 
 130      1.1392E-01      1.6582E+00      8.9447E-02      1.0253E+01      5.3376E-02 
 135      9.9252E-02      1.4099E+00      7.7996E-02      9.1597E+00      4.7981E-02 
 140      8.6970E-02      1.2068E+00      6.8412E-02      8.2215E+00      4.3186E-02 
 145      7.6576E-02      1.0393E+00      6.0522E-02      7.4001E+00      3.8935E-02 
 150      6.7780E-02      9.0010E-01      5.3722E-02      6.6911E+00      3.5109E-02 
 155      6.0146E-02      7.8361E-01      4.7932E-02      6.0595E+00      3.1787E-02 
 160      5.3599E-02      6.8402E-01      4.3011E-02      5.5003E+00      2.8808E-02 
 165      4.7886E-02      5.9965E-01      3.8764E-02      5.0139E+00      2.6124E-02 
 170      4.2894E-02      5.2840E-01      3.5034E-02      4.5622E+00      2.3709E-02 
 175      3.8528E-02      4.6591E-01      3.1749E-02      4.1694E+00      2.1581E-02 
 180      3.4736E-02      4.1389E-01      2.8894E-02      3.8207E+00      1.9642E-02 
 185      3.1357E-02      3.6749E-01      2.6368E-02      3.5018E+00      1.7911E-02 
 190      2.8436E-02      3.2796E-01      2.4115E-02      3.2175E+00      1.6366E-02 
 195      2.5757E-02      2.9309E-01      2.2134E-02      2.9616E+00      1.4964E-02 
 200      2.3414E-02      2.6241E-01      2.0350E-02      2.7300E+00      1.3708E-02 
 205      2.1317E-02      2.3543E-01      1.8724E-02      2.5239E+00      1.2559E-02 
 210      1.9467E-02      2.1215E-01      1.7288E-02      2.3326E+00      1.1515E-02 
 215      1.7784E-02      1.9112E-01      1.5973E-02      2.1607E+00      1.0561E-02 
 220      1.6273E-02      1.7282E-01      1.4783E-02      2.0040E+00      9.7270E-03 
 225      1.4929E-02      1.5628E-01      1.3705E-02      1.8597E+00      8.9368E-03 
 230      1.3706E-02      1.4203E-01      1.2742E-02      1.7287E+00      8.2314E-03 
 235      1.2601E-02      1.2897E-01      1.1847E-02      1.6093E+00      7.5862E-03 
 240      1.1578E-02      1.1742E-01      1.1034E-02      1.4986E+00      7.0004E-03 
 245      1.0690E-02      1.0704E-01      1.0316E-02      1.3983E+00      6.4700E-03 
 250      9.8466E-03      9.7758E-02      9.6157E-03      1.3062E+00      5.9775E-03 
 255      9.1052E-03      8.9473E-02      8.9859E-03      1.2214E+00      5.5291E-03 
 260      8.4167E-03      8.1854E-02      8.4173E-03      1.1411E+00      5.1233E-03 
 265      7.8101E-03      7.4952E-02      7.8806E-03      1.0693E+00      4.7455E-03 
 270      7.2221E-03      6.8926E-02      7.3857E-03      1.0021E+00      4.4011E-03 
 275      6.7050E-03      6.3328E-02      6.9393E-03      9.3996E-01      4.0787E-03 
 280      6.2244E-03      5.8259E-02      6.5076E-03      8.8153E-01      3.7904E-03 
 285      5.7942E-03      5.3764E-02      6.1123E-03      8.2875E-01      3.5217E-03 
 290      5.3887E-03      4.9449E-02      5.7520E-03      7.7858E-01      3.2733E-03 
 295      5.0155E-03      4.5621E-02      5.4136E-03      7.3253E-01      3.0480E-03 
 300      4.6708E-03      4.2253E-02      5.0997E-03      6.9026E-01      2.8365E-03 
