 Mh1    ld345       cs_(fb)   
 177.0    2.503000    7.3243E-01 
 178.0    2.509000    7.1661E-01 
 179.0    2.516000    7.0357E-01 
 180.0    2.540000    6.9775E-01 
 181.0    2.539000    6.8047E-01 
 182.0    2.570000    6.7951E-01 
 183.0    2.549000    6.5093E-01 
 184.0    2.587000    6.5455E-01 
 185.0    2.581000    6.3501E-01 
 186.0    2.599000    6.2777E-01 
 187.0    2.619000    6.2323E-01 
 188.0    2.635000    6.1537E-01 
 189.0    2.637000    6.0062E-01 
 190.0    2.651000    5.9230E-01 
 191.0    2.641000    5.7379E-01 
 192.0    2.665000    5.7039E-01 
 193.0    2.699000    5.7030E-01 
 194.0    2.702000    5.5760E-01 
 195.0    2.729000    5.5581E-01 
 196.0    2.733000    5.4393E-01 
 197.0    2.732000    5.3167E-01 
 198.0    2.752000    5.2613E-01 
 199.0    2.751000    5.1294E-01 
 200.0    2.756000    5.0358E-01 
