 Mh1    ld345       cs_(fb)   
 10.0    0.013408    4.4593E+02 
 11.0    0.013427    4.4573E+02 
 12.0    0.013447    4.4596E+02 
 13.0    0.013470    4.4610E+02 
 14.0    0.013494    4.4654E+02 
 15.0    0.013521    4.4612E+02 
 16.0    0.013549    4.4469E+02 
 17.0    0.013580    4.4566E+02 
 18.0    0.013613    4.4608E+02 
 19.0    0.013649    4.4651E+02 
 20.0    0.013686    4.4658E+02 
 21.0    0.013727    4.4564E+02 
 22.0    0.013770    4.4672E+02 
 23.0    0.013815    4.4622E+02 
 24.0    0.013864    4.4543E+02 
 25.0    0.013915    4.4617E+02 
 26.0    0.013970    4.4602E+02 
 27.0    0.014028    4.4655E+02 
 28.0    0.014089    4.4533E+02 
 29.0    0.014154    4.4641E+02 
 30.0    0.014223    4.4593E+02 
 31.0    0.014296    4.4609E+02 
 32.0    0.014374    4.4585E+02 
 33.0    0.014456    4.4629E+02 
 34.0    0.014543    4.4554E+02 
 35.0    0.014636    4.4519E+02 
 36.0    0.014734    4.4712E+02 
 37.0    0.014839    4.4527E+02 
 38.0    0.014951    4.4553E+02 
 39.0    0.015070    4.4563E+02 
 40.0    0.015198    4.4592E+02 
 41.0    0.015334    4.4545E+02 
 42.0    0.015480    4.4558E+02 
 43.0    0.015638    4.4545E+02 
 44.0    0.015808    4.4467E+02 
 45.0    0.015992    4.4499E+02 
 46.0    0.016191    4.4491E+02 
 47.0    0.016408    4.4469E+02 
 48.0    0.016646    4.4574E+02 
 49.0    0.016908    4.4481E+02 
 50.0    0.017198    4.4539E+02 
 51.0    0.017522    4.4410E+02 
 52.0    0.017886    4.4416E+02 
 53.0    0.018299    4.4430E+02 
 54.0    0.018774    4.4464E+02 
 55.0    0.019330    4.4378E+02 
 56.0    0.019991    4.4450E+02 
 57.0    0.020800    4.4299E+02 
 58.0    0.021825    4.4336E+02 
 59.0    0.023192    4.4336E+02 
 60.0    0.025176    4.4387E+02 
 61.0    0.028547    4.4262E+02 
 62.0    0.037494    4.4287E+02 
 63.0    1.585000    9.2118E+02 
 64.0    1.601000    4.5611E+02 
 65.0    1.615000    3.1867E+02 
 66.0    1.604000    2.4025E+02 
 67.0    1.625000    2.0002E+02 
 68.0    1.602000    1.6218E+02 
 69.0    1.628000    1.4349E+02 
 70.0    1.627000    1.2454E+02 
 71.0    1.632000    1.1091E+02 
 72.0    1.643000    9.9847E+01 
 73.0    1.631000    8.8338E+01 
 74.0    1.654000    8.2256E+01 
 75.0    1.648000    7.4334E+01 
 76.0    1.649000    6.7867E+01 
 77.0    1.660000    6.3315E+01 
 78.0    1.670000    5.9135E+01 
 79.0    1.659000    5.3913E+01 
 80.0    1.657000    4.9937E+01 
 81.0    1.690000    4.8291E+01 
 82.0    1.689000    4.4950E+01 
 83.0    1.701000    4.2631E+01 
 84.0    1.689000    3.9369E+01 
 85.0    1.707000    3.7761E+01 
 86.0    1.710000    3.5700E+01 
 87.0    1.710000    3.3687E+01 
 88.0    1.728000    3.2361E+01 
 89.0    1.710000    2.9946E+01 
 90.0    1.729000    2.8975E+01 
 91.0    1.738000    2.7718E+01 
 92.0    1.742000    2.6452E+01 
 93.0    1.755000    2.5475E+01 
 94.0    1.743000    2.3854E+01 
 95.0    1.773000    2.3475E+01 
 96.0    1.763000    2.2120E+01 
 97.0    1.787000    2.1637E+01 
 98.0    1.769000    2.0223E+01 
 99.0    1.787000    1.9691E+01 
 100.0    1.792000    1.8911E+01 
 101.0    1.799000    1.8221E+01 
 102.0    1.808000    1.7624E+01 
 103.0    1.823000    1.7127E+01 
 104.0    1.830000    1.6509E+01 
 105.0    1.823000    1.5721E+01 
 106.0    1.844000    1.5462E+01 
 107.0    1.828000    1.4528E+01 
 108.0    1.838000    1.4145E+01 
 109.0    1.867000    1.4008E+01 
 110.0    1.860000    1.3355E+01 
 111.0    1.886000    1.3195E+01 
 112.0    1.883000    1.2662E+01 
 113.0    1.877000    1.2093E+01 
 114.0    1.890000    1.1801E+01 
 115.0    1.909000    1.1621E+01 
 116.0    1.913000    1.1242E+01 
 117.0    1.915000    1.0861E+01 
 118.0    1.926000    1.0588E+01 
 119.0    1.930000    1.0263E+01 
 120.0    1.939000    9.9975E+00 
 121.0    1.946000    9.7249E+00 
 122.0    1.948000    9.4140E+00 
 123.0    1.971000    9.3117E+00 
 124.0    1.956000    8.8634E+00 
 125.0    1.988000    8.8413E+00 
