    Mh1      lim inf      Omega     lim sup  
1.130E+02  1.060E-01  1.120E-01  1.180E-01
1.140E+02  1.060E-01  1.120E-01  1.180E-01
1.150E+02  1.060E-01  1.120E-01  1.180E-01
1.160E+02  1.060E-01  1.120E-01  1.180E-01
1.170E+02  1.060E-01  1.120E-01  1.180E-01
1.180E+02  1.060E-01  1.120E-01  1.180E-01
1.190E+02  1.060E-01  1.120E-01  1.180E-01
1.200E+02  1.060E-01  1.120E-01  1.180E-01
1.210E+02  1.060E-01  1.120E-01  1.180E-01
1.220E+02  1.060E-01  1.120E-01  1.180E-01
1.230E+02  1.060E-01  1.120E-01  1.180E-01
1.240E+02  1.060E-01  1.120E-01  1.180E-01
1.250E+02  1.060E-01  1.120E-01  1.180E-01
1.260E+02  1.060E-01  1.120E-01  1.180E-01
1.270E+02  1.060E-01  1.120E-01  1.180E-01
1.280E+02  1.060E-01  1.120E-01  1.180E-01
1.290E+02  1.060E-01  1.120E-01  1.180E-01
1.300E+02  1.060E-01  1.120E-01  1.180E-01
1.310E+02  1.060E-01  1.120E-01  1.180E-01
1.320E+02  1.060E-01  1.120E-01  1.180E-01
1.330E+02  1.060E-01  1.120E-01  1.180E-01
1.340E+02  1.060E-01  1.120E-01  1.180E-01
1.350E+02  1.060E-01  1.120E-01  1.180E-01
1.360E+02  1.060E-01  1.120E-01  1.180E-01
1.370E+02  1.060E-01  1.120E-01  1.180E-01
1.380E+02  1.060E-01  1.120E-01  1.180E-01
1.390E+02  1.060E-01  1.120E-01  1.180E-01
1.400E+02  1.060E-01  1.120E-01  1.180E-01
1.410E+02  1.060E-01  1.120E-01  1.180E-01
1.420E+02  1.060E-01  1.120E-01  1.180E-01
1.430E+02  1.060E-01  1.120E-01  1.180E-01
1.440E+02  1.060E-01  1.120E-01  1.180E-01
1.450E+02  1.060E-01  1.120E-01  1.180E-01
1.460E+02  1.060E-01  1.120E-01  1.180E-01
1.470E+02  1.060E-01  1.120E-01  1.180E-01
1.480E+02  1.060E-01  1.120E-01  1.180E-01
1.490E+02  1.060E-01  1.120E-01  1.180E-01
1.500E+02  1.060E-01  1.120E-01  1.180E-01
1.510E+02  1.060E-01  1.120E-01  1.180E-01
1.520E+02  1.060E-01  1.120E-01  1.180E-01
1.530E+02  1.060E-01  1.120E-01  1.180E-01
1.540E+02  1.060E-01  1.120E-01  1.180E-01
1.550E+02  1.060E-01  1.120E-01  1.180E-01
1.560E+02  1.060E-01  1.120E-01  1.180E-01
1.570E+02  1.060E-01  1.120E-01  1.180E-01
1.580E+02  1.060E-01  1.120E-01  1.180E-01
1.590E+02  1.060E-01  1.120E-01  1.180E-01
1.600E+02  1.060E-01  1.120E-01  1.180E-01
1.610E+02  1.060E-01  1.120E-01  1.180E-01
1.620E+02  1.060E-01  1.120E-01  1.180E-01
1.630E+02  1.060E-01  1.120E-01  1.180E-01
1.640E+02  1.060E-01  1.120E-01  1.180E-01
1.650E+02  1.060E-01  1.120E-01  1.180E-01
1.660E+02  1.060E-01  1.120E-01  1.180E-01
1.670E+02  1.060E-01  1.120E-01  1.180E-01
1.680E+02  1.060E-01  1.120E-01  1.180E-01
1.690E+02  1.060E-01  1.120E-01  1.180E-01
1.700E+02  1.060E-01  1.120E-01  1.180E-01
1.710E+02  1.060E-01  1.120E-01  1.180E-01
1.720E+02  1.060E-01  1.120E-01  1.180E-01
1.730E+02  1.060E-01  1.120E-01  1.180E-01
