 Mh1    Mh2      cs_(fb)   
 10.0    11.0    8.2013E+03 
 11.0    12.0    7.9261E+03 
 12.0    13.0    7.8478E+03 
 13.0    14.0    7.9546E+03 
 14.0    15.0    7.4704E+03 
 15.0    16.0    7.5207E+03 
 16.0    17.0    7.1125E+03 
 17.0    18.0    7.0192E+03 
 18.0    19.0    6.7510E+03 
 19.0    20.0    6.5833E+03 
 20.0    21.0    6.3674E+03 
 21.0    22.0    6.0590E+03 
 22.0    23.0    5.8286E+03 
 23.0    24.0    5.5843E+03 
 24.0    25.0    5.3213E+03 
 25.0    26.0    5.0493E+03 
 26.0    27.0    4.7690E+03 
 27.0    28.0    4.5121E+03 
 28.0    29.0    4.2324E+03 
 29.0    30.0    3.9528E+03 
 30.0    31.0    3.6456E+03 
 31.0    32.0    3.3888E+03 
 32.0    33.0    3.1137E+03 
 33.0    34.0    2.8092E+03 
 34.0    35.0    2.5265E+03 
 35.0    36.0    2.2578E+03 
 36.0    37.0    1.9885E+03 
 37.0    38.0    1.7184E+03 
 38.0    39.0    1.4602E+03 
 39.0    40.0    1.2061E+03 
 40.0    41.0    9.7530E+02 
 41.0    42.0    7.5550E+02 
 42.0    43.0    5.5688E+02 
 43.0    44.0    3.8539E+02 
 44.0    45.0    2.4907E+02 
 45.0    46.0    1.6113E+02 
 46.0    47.0    1.2218E+02 
 47.0    48.0    1.0248E+02 
 48.0    49.0    8.9257E+01 
 49.0    50.0    7.9759E+01 
 50.0    51.0    7.2267E+01 
 51.0    52.0    6.6009E+01 
 52.0    53.0    6.0646E+01 
 53.0    54.0    5.6250E+01 
 54.0    55.0    5.2226E+01 
 55.0    56.0    4.8703E+01 
 56.0    57.0    4.5534E+01 
 57.0    58.0    4.2731E+01 
 58.0    59.0    4.0228E+01 
 59.0    60.0    3.7899E+01 
 60.0    61.0    3.5822E+01 
 61.0    62.0    3.3913E+01 
 62.0    63.0    3.2131E+01 
 63.0    64.0    3.0507E+01 
 64.0    65.0    2.9026E+01 
 65.0    66.0    2.7603E+01 
 66.0    67.0    2.6332E+01 
 67.0    68.0    2.5099E+01 
 68.0    69.0    2.3972E+01 
 69.0    70.0    2.2905E+01 
 70.0    71.0    2.1922E+01 
 71.0    72.0    2.0976E+01 
 72.0    73.0    2.0069E+01 
 73.0    74.0    1.9255E+01 
 74.0    75.0    1.8475E+01 
 75.0    76.0    1.7732E+01 
 76.0    77.0    1.7022E+01 
 77.0    78.0    1.6355E+01 
 78.0    79.0    1.5739E+01 
 79.0    80.0    1.5137E+01 
 80.0    81.0    1.4576E+01 
 81.0    82.0    1.4028E+01 
 82.0    83.0    1.3525E+01 
 83.0    84.0    1.3047E+01 
 84.0    85.0    1.2592E+01 
 85.0    86.0    1.2146E+01 
 86.0    87.0    1.1725E+01 
 87.0    88.0    1.1325E+01 
 88.0    89.0    1.0939E+01 
 89.0    90.0    1.0577E+01 
 90.0    91.0    1.0223E+01 
 91.0    92.0    9.8941E+00 
