 Mh1    Mh2      cs_(fb)   
 186.0    187.0    3.4140E+00 
 187.0    188.0    3.3525E+00 
 188.0    189.0    3.3009E+00 
 189.0    190.0    3.2462E+00 
 190.0    191.0    3.1919E+00 
 191.0    192.0    3.1376E+00 
 192.0    193.0    3.0857E+00 
 193.0    194.0    3.0342E+00 
 194.0    195.0    2.9846E+00 
 195.0    196.0    2.9371E+00 
 196.0    197.0    2.8916E+00 
 197.0    198.0    2.8443E+00 
 198.0    199.0    2.7964E+00 
 199.0    200.0    2.7500E+00 
 200.0    201.0    2.7087E+00 
