bin=/home/belyaev/calchep/work/bin
        Mh1 & Cross section          & prt_First-Last
  5.820E+02 &   1.762E-04 +- 4.3E-01 & 2855-2880
  5.840E+02 &   1.727E-04 +- 3.5E-01 & 2881-2906
  5.860E+02 &   1.692E-04 +- 4.3E-01 & 2907-2932
  5.880E+02 &   1.659E-04 +- 3.9E-01 & 2933-2958
  5.900E+02 &   1.626E-04 +- 4.5E-01 & 2959-2984
  5.920E+02 &   1.585E-04 +- 3.4E-01 & 2985-3010
  5.940E+02 &   1.552E-04 +- 4.0E-01 & 3011-3036
  5.960E+02 &   1.522E-04 +- 4.0E-01 & 3037-3062
  5.980E+02 &   1.492E-04 +- 5.4E-01 & 3063-3088
  6.000E+02 &   1.462E-04 +- 2.9E-01 & 3089-3114
