 Mh1    ld345      SR      cs_(fb)   
 10.0   1.0        2     5.6861E+02 
 29.0   1.0        2     2.7740E+02 
 48.0   1.0        3     4.4355E+00 
 67.0   1.0        4     9.8499E-01 
 86.0   1.0        4     5.9943E-01 
 105.0   1.0        4     3.9544E-01 
 124.0   1.0        6     9.8146E-02 
 143.0   1.0        6     7.2096E-02 
 162.0   1.0        6     5.3833E-02 
 181.0   1.0        6     4.0759E-02 
 200.0   1.0        6     3.1295E-02 
