 Mh1    ld345      SR      cs_(fb)   
 10.0   1.0        2     1.4448E+03 
 29.0   1.0        2     7.1083E+02  
 48.0   1.0        3     1.3183E+01 
 67.0   1.0        4     3.3593E+00 
 86.0   1.0        4     2.1253E+00 
 105.0   1.0        4     1.4534E+00 
 124.0   1.0        6     4.4077E-01 
 143.0   1.0        6     3.3449E-01 
 162.0   1.0        6     2.5859E-01 
 181.0   1.0        6     2.0263E-01 
 200.0   1.0        6     1.6067E-01 
