mh1    limit
10   5882.35294118
20   5263.15789474
30   4761.9047619
40   3571.42857143
45   4000.0
50   3571.42857143
55   3225.80645161
60   2439.02439024
70   2631.57894737
80   2564.1025641
90   2439.02439024
100   1886.79245283
120   1818.18181818
140   1388.88888889
160   1298.7012987
180   1123.59550562
200   909.090909091
