mh1    limit
10   6666.66666667
20   5555.55555556
30   5555.55555556
40   4000.0
45   4545.45454545
50   4000.0
55   4000.0
60   3448.27586207
70   3448.27586207
80   3125.0
90   2857.14285714
100   2325.58139535
120   2173.91304348
140   1923.07692308
160   1851.85185185
180   1612.90322581
200   1428.57142857
