mh1    limit
10   4761.9047619
20   5000.0
30   4347.82608696
40   3703.7037037
45   3333.33333333
50   3030.3030303
55   2941.17647059
60   2272.72727273
70   2439.02439024
80   2083.33333333
90   2222.22222222
100   1754.38596491
120   1562.5
140   1176.47058824
160   1162.79069767
180   1030.92783505
200   819.672131148
