 Mh1    ld345       cs_(fb)   
 10.0    0.013408    3.6238E+01 
 48.0    0.016646    8.1063E-01 
 86.0    1.747272    2.3076E-01 
 124.0    2.019698    1.0937E-01 
 162.0    2.390718    5.7942E-02 
 200.0    2.860330    3.2794E-02 
