 Mh1       Mh2      Mhc      ld345        ld         Omega       protonSI     Br(H->h1h1)    Br(H->h2h2)   Br(H->h-h+)     Width_H      HB     HS      R      v_stab     LEP    S        T   
43.00   44.00   44.00   -1.000E-03   8.000E+00   1.292E-04    2.876E-12     7.883E-04      2.984E-03     5.969E-03     4.297E-03      1      1    -0.000      2        -8    -0.001    0.000 
44.00   45.00   45.00   -1.000E-03   8.000E+00   8.940E-05    2.744E-12     7.711E-04      3.121E-03     6.242E-03     4.298E-03      1      1    -0.000      2        -8    -0.001    0.000 
45.00   46.00   46.00   -1.000E-03   8.000E+00   1.393E-04    2.622E-12     7.532E-04      3.251E-03     6.501E-03     4.300E-03      1      1    -0.000      2        -4    -0.001    0.000 
46.00   47.00   47.00   -1.000E-03   8.000E+00   3.976E-04    2.507E-12     7.345E-04      3.373E-03     6.745E-03     4.301E-03      1      1    -0.000      2        1    -0.001    0.000 
47.00   48.00   48.00   -1.000E-03   8.000E+00   7.801E-04    2.400E-12     7.150E-04      3.485E-03     6.969E-03     4.303E-03      1      1    -0.000      2        1    -0.001    0.000 
48.00   49.00   49.00   -1.000E-03   8.000E+00   1.201E-03    2.299E-12     6.945E-04      3.585E-03     7.171E-03     4.304E-03      1      1    -0.000      2        1    -0.001    0.000 
49.00   50.00   50.00   -1.000E-03   8.000E+00   1.609E-03    2.204E-12     6.730E-04      3.672E-03     7.345E-03     4.305E-03      1      1    -0.000      2        1    -0.001    0.000 
50.00   51.00   51.00   -1.000E-03   8.000E+00   2.014E-03    2.116E-12     6.503E-04      3.743E-03     7.487E-03     4.306E-03      1      1    -0.000      2        1    -0.001    0.000 
51.00   52.00   52.00   -1.000E-03   8.000E+00   2.413E-03    2.032E-12     6.265E-04      3.795E-03     7.591E-03     4.306E-03      1      1    -0.000      2        1    -0.000    0.000 
52.00   53.00   53.00   -1.000E-03   8.000E+00   2.798E-03    1.953E-12     6.012E-04      3.825E-03     7.650E-03     4.307E-03      1      1    -0.000      2        1    -0.000    0.000 
53.00   54.00   54.00   -1.000E-03   8.000E+00   3.166E-03    1.879E-12     5.744E-04      3.829E-03     7.657E-03     4.307E-03      1      1    -0.000      2        1    -0.001    0.000 
54.00   55.00   55.00   -1.000E-03   8.000E+00   3.517E-03    1.809E-12     5.457E-04      3.801E-03     7.601E-03     4.306E-03      1      1    -0.000      2        1    -0.000    0.000 
55.00   56.00   56.00   -1.000E-03   8.000E+00   3.854E-03    1.742E-12     5.149E-04      3.735E-03     7.469E-03     4.305E-03      1      1    -0.000      2        1    -0.000    0.000 
56.00   57.00   57.00   -1.000E-03   8.000E+00   4.165E-03    1.679E-12     4.816E-04      3.622E-03     7.244E-03     4.303E-03      1      1    -0.000      2        1    -0.000    0.000 
57.00   58.00   58.00   -1.000E-03   8.000E+00   4.449E-03    1.620E-12     4.451E-04      3.451E-03     6.902E-03     4.301E-03      1      1    -0.000      2        1    -0.000    0.000 
58.00   59.00   59.00   -1.000E-03   8.000E+00   4.668E-03    1.563E-12     4.046E-04      3.203E-03     6.406E-03     4.298E-03      1      1    -0.000      2        1    -0.000    0.000 
59.00   60.00   60.00   -1.000E-03   8.000E+00   4.720E-03    1.510E-12     3.587E-04      2.847E-03     5.694E-03     4.293E-03      1      1    -0.000      2        1    -0.000    0.000 
60.00   61.00   61.00   -1.000E-03   8.000E+00   4.387E-03    1.459E-12     3.049E-04      2.318E-03     4.636E-03     4.286E-03      1      1    -0.000      2        1    -0.000    0.000 
61.00   62.00   62.00   -1.000E-03   8.000E+00   3.526E-03    1.411E-12     2.378E-04      1.407E-03     2.814E-03     4.274E-03      1      1    -0.000      2        1    -0.000    0.000 
62.00   63.00   63.00   -1.000E-03   8.000E+00   4.983E-03    1.365E-12     1.385E-04      0.000E+00     0.000E+00     4.255E-03      1      1    -0.000      2        1    -0.001    0.000 
63.00   64.00   64.00   -1.000E-03   8.000E+00   6.123E-03    1.321E-12     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.000      2        1    -0.001    0.000 
64.00   65.00   65.00   -1.000E-03   8.000E+00   6.371E-03    1.279E-12     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.000      2        1    -0.000    0.000 
65.00   66.00   66.00   -1.000E-03   8.000E+00   6.612E-03    1.239E-12     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.000      2        1    -0.000    0.000 
66.00   67.00   67.00   -1.000E-03   8.000E+00   6.847E-03    1.201E-12     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.000      2        1    -0.000    0.000 
67.00   68.00   68.00   -1.000E-03   8.000E+00   7.078E-03    1.165E-12     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.000      2        1    -0.000    0.000 
68.00   69.00   69.00   -1.000E-03   8.000E+00   7.303E-03    1.130E-12     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.000      2        1    -0.000    0.000 
69.00   70.00   70.00   -1.000E-03   8.000E+00   7.523E-03    1.097E-12     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.000      2        1    -0.000    0.000 
70.00   71.00   71.00   -1.000E-03   8.000E+00   7.737E-03    1.065E-12     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.000      2        1    -0.000    0.000 
71.00   72.00   72.00   -1.000E-03   8.000E+00   7.944E-03    1.035E-12     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.000      2        1    -0.000    0.000 
72.00   73.00   73.00   -1.000E-03   8.000E+00   8.142E-03    1.006E-12     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.000      2        1    -0.000    0.000 
73.00   74.00   74.00   -1.000E-03   8.000E+00   8.327E-03    9.778E-13     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.000      2        1    -0.000    0.000 
74.00   75.00   75.00   -1.000E-03   8.000E+00   8.491E-03    9.510E-13     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.000      2        1    -0.000    0.000 
75.00   76.00   76.00   -1.000E-03   8.000E+00   8.622E-03    9.253E-13     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.000      2        1    -0.001    0.000 
76.00   77.00   77.00   -1.000E-03   8.000E+00   8.696E-03    9.006E-13     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.000      2        1    -0.000    0.000 
77.00   78.00   78.00   -1.000E-03   8.000E+00   8.671E-03    8.769E-13     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.000      2        1    -0.000    0.000 
78.00   79.00   79.00   -1.000E-03   8.000E+00   8.496E-03    8.541E-13     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.000      2        1    -0.000    0.000 
