 Mh1       Mh2      Mhc      ld345        ld         Omega       protonSI     Br(H->h1h1)    Br(H->h2h2)   Br(H->h-h+)     Width_H      HB     HS      R      v_stab     LEP    S        T   
43.00   44.00   44.00   -1.000E+00   8.000E+00   1.279E-04    2.876E-06     2.551E-01      2.482E-01     4.964E-01     1.328E+01      1      1    -0.484      2        -8    -0.001    0.000 
44.00   45.00   45.00   -1.000E+00   8.000E+00   8.875E-05    2.744E-06     2.554E-01      2.481E-01     4.962E-01     1.298E+01      1      1    -0.484      2        -8    -0.001    0.000 
45.00   46.00   46.00   -1.000E+00   8.000E+00   1.375E-04    2.622E-06     2.558E-01      2.480E-01     4.959E-01     1.266E+01      1      1    -0.484      2        -4    -0.001    0.000 
46.00   47.00   47.00   -1.000E+00   8.000E+00   3.818E-04    2.507E-06     2.562E-01      2.478E-01     4.957E-01     1.233E+01      1      1    -0.484      2        1    -0.001    0.000 
47.00   48.00   48.00   -1.000E+00   8.000E+00   7.146E-04    2.400E-06     2.566E-01      2.477E-01     4.954E-01     1.199E+01      1      1    -0.484      2        1    -0.001    0.000 
48.00   49.00   49.00   -1.000E+00   8.000E+00   1.035E-03    2.299E-06     2.571E-01      2.475E-01     4.950E-01     1.163E+01      1      1    -0.484      2        1    -0.001    0.000 
49.00   50.00   50.00   -1.000E+00   8.000E+00   1.290E-03    2.204E-06     2.576E-01      2.473E-01     4.947E-01     1.125E+01      1      1    -0.484      2        1    -0.001    0.000 
50.00   51.00   51.00   -1.000E+00   8.000E+00   1.486E-03    2.116E-06     2.583E-01      2.471E-01     4.942E-01     1.084E+01      1      1    -0.484      2        1    -0.001    0.000 
51.00   52.00   52.00   -1.000E+00   8.000E+00   1.605E-03    2.032E-06     2.590E-01      2.469E-01     4.937E-01     1.041E+01      1      1    -0.484      2        1    -0.000    0.000 
52.00   53.00   53.00   -1.000E+00   8.000E+00   1.642E-03    1.953E-06     2.599E-01      2.465E-01     4.931E-01     9.961E+00      1      1    -0.484      2        1    -0.000    0.000 
53.00   54.00   54.00   -1.000E+00   8.000E+00   1.595E-03    1.879E-06     2.610E-01      2.462E-01     4.923E-01     9.476E+00      1      1    -0.484      2        1    -0.001    0.000 
54.00   55.00   55.00   -1.000E+00   8.000E+00   1.470E-03    1.809E-06     2.624E-01      2.457E-01     4.914E-01     8.955E+00      1      1    -0.484      2        1    -0.000    0.000 
55.00   56.00   56.00   -1.000E+00   8.000E+00   1.285E-03    1.742E-06     2.642E-01      2.451E-01     4.902E-01     8.391E+00      1      1    -0.484      2        1    -0.000    0.000 
56.00   57.00   57.00   -1.000E+00   8.000E+00   1.046E-03    1.679E-06     2.665E-01      2.443E-01     4.886E-01     7.776E+00      1      1    -0.484      2        1    -0.000    0.000 
57.00   58.00   58.00   -1.000E+00   8.000E+00   7.809E-04    1.620E-06     2.698E-01      2.432E-01     4.864E-01     7.094E+00      1      1    -0.484      2        1    -0.000    0.000 
58.00   59.00   59.00   -1.000E+00   8.000E+00   5.363E-04    1.563E-06     2.749E-01      2.415E-01     4.830E-01     6.326E+00      1      1    -0.484      2        1    -0.000    0.000 
59.00   60.00   60.00   -1.000E+00   8.000E+00   3.150E-04    1.510E-06     2.834E-01      2.386E-01     4.772E-01     5.433E+00      1      1    -0.484      2        1    -0.000    0.000 
60.00   61.00   61.00   -1.000E+00   8.000E+00   1.553E-04    1.459E-06     3.015E-01      2.325E-01     4.650E-01     4.335E+00      1      1    -0.484      2        1    -0.000    0.000 
61.00   62.00   62.00   -1.000E+00   8.000E+00   5.516E-05    1.411E-06     3.665E-01      2.107E-01     4.213E-01     2.773E+00      1      0    -0.484      2        1    -0.000    0.000 
62.00   63.00   63.00   -1.000E+00   8.000E+00   4.637E-06    1.365E-06     9.928E-01      0.000E+00     0.000E+00     5.934E-01      0      0    -0.484      2        1    -0.001    0.000 
63.00   64.00   64.00   -1.000E+00   8.000E+00   3.142E-05    1.321E-06     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.001    0.000 
64.00   65.00   65.00   -1.000E+00   8.000E+00   1.559E-04    1.279E-06     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.000    0.000 
65.00   66.00   66.00   -1.000E+00   8.000E+00   3.249E-04    1.239E-06     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.000    0.000 
66.00   67.00   67.00   -1.000E+00   8.000E+00   5.138E-04    1.201E-06     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.000    0.000 
67.00   68.00   68.00   -1.000E+00   8.000E+00   7.093E-04    1.165E-06     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.000    0.000 
68.00   69.00   69.00   -1.000E+00   8.000E+00   9.027E-04    1.130E-06     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.000    0.000 
69.00   70.00   70.00   -1.000E+00   8.000E+00   1.088E-03    1.097E-06     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.000    0.000 
70.00   71.00   71.00   -1.000E+00   8.000E+00   1.262E-03    1.065E-06     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.000    0.000 
71.00   72.00   72.00   -1.000E+00   8.000E+00   1.413E-03    1.035E-06     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.000    0.000 
72.00   73.00   73.00   -1.000E+00   8.000E+00   1.550E-03    1.006E-06     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.000    0.000 
73.00   74.00   74.00   -1.000E+00   8.000E+00   1.660E-03    9.778E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.000    0.000 
74.00   75.00   75.00   -1.000E+00   8.000E+00   1.737E-03    9.510E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.000    0.000 
75.00   76.00   76.00   -1.000E+00   8.000E+00   1.768E-03    9.253E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.001    0.000 
76.00   77.00   77.00   -1.000E+00   8.000E+00   1.740E-03    9.006E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.000    0.000 
77.00   78.00   78.00   -1.000E+00   8.000E+00   1.633E-03    8.769E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.000    0.000 
78.00   79.00   79.00   -1.000E+00   8.000E+00   1.456E-03    8.541E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.000    0.000 
79.00   80.00   80.00   -1.000E+00   8.000E+00   1.232E-03    8.322E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.000    0.000 
80.00   81.00   81.00   -1.000E+00   8.000E+00   1.011E-03    8.110E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.000    0.000 
81.00   82.00   82.00   -1.000E+00   8.000E+00   8.571E-04    7.907E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.000    0.000 
82.00   83.00   83.00   -1.000E+00   8.000E+00   7.827E-04    7.711E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.000    0.000 
83.00   84.00   84.00   -1.000E+00   8.000E+00   7.524E-04    7.522E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.000    0.000 
84.00   85.00   85.00   -1.000E+00   8.000E+00   7.477E-04    7.339E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.000    0.000 
85.00   86.00   86.00   -1.000E+00   8.000E+00   7.127E-04    7.164E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.000    0.000 
86.00   87.00   87.00   -1.000E+00   8.000E+00   7.216E-04    6.994E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.000    0.000 
87.00   88.00   88.00   -1.000E+00   8.000E+00   7.319E-04    6.830E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.000    0.000 
88.00   89.00   89.00   -1.000E+00   8.000E+00   7.415E-04    6.672E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.000    0.000 
89.00   90.00   90.00   -1.000E+00   8.000E+00   7.478E-04    6.520E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.000    0.000 
90.00   91.00   91.00   -1.000E+00   8.000E+00   7.486E-04    6.372E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.000    0.000 
91.00   92.00   92.00   -1.000E+00   8.000E+00   7.451E-04    6.229E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.000    0.000 
92.00   93.00   93.00   -1.000E+00   8.000E+00   7.429E-04    6.091E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.000    0.000 
93.00   94.00   94.00   -1.000E+00   8.000E+00   7.454E-04    5.958E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.000    0.000 
94.00   95.00   95.00   -1.000E+00   8.000E+00   7.519E-04    5.829E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.000    0.000 
95.00   96.00   96.00   -1.000E+00   8.000E+00   7.607E-04    5.704E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.000    0.000 
96.00   97.00   97.00   -1.000E+00   8.000E+00   7.724E-04    5.583E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.000    0.000 
97.00   98.00   98.00   -1.000E+00   8.000E+00   7.776E-04    5.465E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.001    0.000 
98.00   99.00   99.00   -1.000E+00   8.000E+00   7.870E-04    5.352E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.001    0.000 
99.00   100.00   100.00   -1.000E+00   8.000E+00   7.948E-04    5.242E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.000    0.000 
100.00   101.00   101.00   -1.000E+00   8.000E+00   8.006E-04    5.135E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.000    0.000 
