 Mh1       Mh2      Mhc      ld345        ld         Omega       protonSI     Br(H->h1h1)    Br(H->h2h2)   Br(H->h-h+)     Width_H      HB     HS      R      v_stab     LEP    S        T   
44.00   45.00   45.00   1.000E-02   8.000E+00   8.940E-05    2.744E-10     5.314E-02      8.823E-02     1.765E-01     6.237E-03      1      1    0.005      1        -8    -0.001    0.000 
45.00   46.00   46.00   1.000E-02   8.000E+00   1.393E-04    2.622E-10     5.219E-02      8.741E-02     1.748E-01     6.206E-03      1      1    0.005      1        -4    -0.001    0.000 
46.00   47.00   47.00   1.000E-02   8.000E+00   3.976E-04    2.507E-10     5.119E-02      8.648E-02     1.730E-01     6.172E-03      1      1    0.005      1        1    -0.001    0.000 
47.00   48.00   48.00   1.000E-02   8.000E+00   7.801E-04    2.400E-10     5.015E-02      8.541E-02     1.708E-01     6.134E-03      1      1    0.005      1        1    -0.001    0.000 
48.00   49.00   49.00   1.000E-02   8.000E+00   1.201E-03    2.299E-10     4.906E-02      8.421E-02     1.684E-01     6.093E-03      1      1    0.005      1        1    -0.001    0.000 
49.00   50.00   50.00   1.000E-02   8.000E+00   1.609E-03    2.204E-10     4.791E-02      8.285E-02     1.657E-01     6.047E-03      1      1    0.005      1        1    -0.001    0.000 
50.00   51.00   51.00   1.000E-02   8.000E+00   2.014E-03    2.116E-10     4.669E-02      8.130E-02     1.626E-01     5.998E-03      1      1    0.005      1        1    -0.001    0.000 
51.00   52.00   52.00   1.000E-02   8.000E+00   2.413E-03    2.032E-10     4.540E-02      7.955E-02     1.591E-01     5.943E-03      1      1    0.005      1        1    -0.000    0.000 
52.00   53.00   53.00   1.000E-02   8.000E+00   2.797E-03    1.953E-10     4.402E-02      7.756E-02     1.551E-01     5.882E-03      1      1    0.005      1        1    -0.000    0.000 
53.00   54.00   54.00   1.000E-02   8.000E+00   3.163E-03    1.879E-10     4.253E-02      7.528E-02     1.506E-01     5.815E-03      1      1    0.005      1        1    -0.001    0.000 
54.00   55.00   55.00   1.000E-02   8.000E+00   3.503E-03    1.809E-10     4.093E-02      7.265E-02     1.453E-01     5.741E-03      1      1    0.005      1        1    -0.000    0.000 
55.00   56.00   56.00   1.000E-02   8.000E+00   3.800E-03    1.742E-10     3.918E-02      6.961E-02     1.392E-01     5.658E-03      1      1    0.005      1        1    -0.000    0.000 
56.00   57.00   57.00   1.000E-02   8.000E+00   3.981E-03    1.679E-10     3.725E-02      6.603E-02     1.321E-01     5.564E-03      1      1    0.005      1        1    -0.000    0.000 
57.00   58.00   58.00   1.000E-02   8.000E+00   3.889E-03    1.620E-10     3.508E-02      6.176E-02     1.235E-01     5.457E-03      1      1    0.005      1        1    -0.000    0.000 
58.00   59.00   59.00   1.000E-02   8.000E+00   3.269E-03    1.563E-10     3.261E-02      5.652E-02     1.130E-01     5.333E-03      1      1    0.005      1        1    -0.000    0.000 
59.00   60.00   60.00   1.000E-02   8.000E+00   2.135E-03    1.510E-10     2.971E-02      4.982E-02     9.965E-02     5.183E-03      1      1    0.005      1        1    -0.000    0.000 
60.00   61.00   61.00   1.000E-02   8.000E+00   1.044E-03    1.459E-10     2.617E-02      4.061E-02     8.123E-02     4.994E-03      1      1    0.005      1        1    -0.000    0.000 
61.00   62.00   62.00   1.000E-02   8.000E+00   4.248E-04    1.411E-10     2.157E-02      2.519E-02     5.038E-02     4.712E-03      1      1    0.005      1        1    -0.000    0.000 
62.00   63.00   63.00   1.000E-02   8.000E+00   3.202E-04    1.365E-10     1.366E-02      0.000E+00     0.000E+00     4.314E-03      1      1    0.005      1        1    -0.001    0.000 
63.00   64.00   64.00   1.000E-02   8.000E+00   5.971E-03    1.321E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    0.005      1        1    -0.001    0.000 
64.00   65.00   65.00   1.000E-02   8.000E+00   6.321E-03    1.279E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    0.005      1        1    -0.000    0.000 
65.00   66.00   66.00   1.000E-02   8.000E+00   6.578E-03    1.239E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    0.005      1        1    -0.000    0.000 
66.00   67.00   67.00   1.000E-02   8.000E+00   6.820E-03    1.201E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    0.005      1        1    -0.000    0.000 
67.00   68.00   68.00   1.000E-02   8.000E+00   7.052E-03    1.165E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    0.005      1        1    -0.000    0.000 
68.00   69.00   69.00   1.000E-02   8.000E+00   7.278E-03    1.130E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    0.005      1        1    -0.000    0.000 
69.00   70.00   70.00   1.000E-02   8.000E+00   7.497E-03    1.097E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    0.005      1        1    -0.000    0.000 
70.00   71.00   71.00   1.000E-02   8.000E+00   7.709E-03    1.065E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    0.005      1        1    -0.000    0.000 
71.00   72.00   72.00   1.000E-02   8.000E+00   7.914E-03    1.035E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    0.005      1        1    -0.000    0.000 
72.00   73.00   73.00   1.000E-02   8.000E+00   8.108E-03    1.006E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    0.005      1        1    -0.000    0.000 
73.00   74.00   74.00   1.000E-02   8.000E+00   8.287E-03    9.778E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    0.005      1        1    -0.000    0.000 
74.00   75.00   75.00   1.000E-02   8.000E+00   8.443E-03    9.510E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    0.005      1        1    -0.000    0.000 
75.00   76.00   76.00   1.000E-02   8.000E+00   8.562E-03    9.253E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    0.005      1        1    -0.001    0.000 
76.00   77.00   77.00   1.000E-02   8.000E+00   8.618E-03    9.006E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    0.005      1        1    -0.000    0.000 
77.00   78.00   78.00   1.000E-02   8.000E+00   8.566E-03    8.769E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    0.005      1        1    -0.000    0.000 
78.00   79.00   79.00   1.000E-02   8.000E+00   8.353E-03    8.541E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    0.005      1        1    -0.000    0.000 
79.00   80.00   80.00   1.000E-02   8.000E+00   7.918E-03    8.322E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    0.005      1        1    -0.000    0.000 
80.00   81.00   81.00   1.000E-02   8.000E+00   7.308E-03    8.110E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    0.005      1        1    -0.000    0.000 
81.00   82.00   82.00   1.000E-02   8.000E+00   6.729E-03    7.907E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    0.005      1        1    -0.000    0.000 
