 MDM      Mh1     Mh2      Mhc      ld345        ld         Omega       protonSI     Br(H->h1h1)    Br(H->h2h2)   Br(H->h-h+)     Width_H      HB     HS      R      v_stab     LEP    S        T   
26.00   26.00   201.00   201.00   2.000E-02   1.000E-03   1.947E+01    2.355E-09     2.852E-01      0.000E+00     0.000E+00     5.952E-03      1      1    1.225      3        1    -0.021    0.000 
27.00   27.00   201.00   201.00   2.000E-02   1.000E-03   1.889E+01    2.180E-09     2.835E-01      0.000E+00     0.000E+00     5.938E-03      1      1    1.225      3        1    -0.021    0.000 
28.00   28.00   201.00   201.00   2.000E-02   1.000E-03   1.831E+01    2.025E-09     2.818E-01      0.000E+00     0.000E+00     5.924E-03      1      1    1.225      3        1    -0.021    0.000 
29.00   29.00   201.00   201.00   2.000E-02   1.000E-03   1.770E+01    1.885E-09     2.799E-01      0.000E+00     0.000E+00     5.908E-03      1      1    1.225      3        1    -0.021    0.000 
30.00   30.00   201.00   201.00   2.000E-02   1.000E-03   1.707E+01    1.759E-09     2.779E-01      0.000E+00     0.000E+00     5.892E-03      1      1    1.225      3        1    -0.021    0.000 
31.00   31.00   201.00   201.00   2.000E-02   1.000E-03   1.643E+01    1.645E-09     2.759E-01      0.000E+00     0.000E+00     5.876E-03      1      1    1.225      3        1    -0.021    0.000 
32.00   32.00   201.00   201.00   2.000E-02   1.000E-03   1.577E+01    1.542E-09     2.737E-01      0.000E+00     0.000E+00     5.858E-03      1      1    1.225      3        1    -0.021    0.000 
33.00   33.00   201.00   201.00   2.000E-02   1.000E-03   1.510E+01    1.448E-09     2.715E-01      0.000E+00     0.000E+00     5.840E-03      1      1    1.225      3        1    -0.021    0.000 
34.00   34.00   201.00   201.00   2.000E-02   1.000E-03   1.442E+01    1.362E-09     2.691E-01      0.000E+00     0.000E+00     5.821E-03      1      1    1.225      3        1    -0.021    0.000 
35.00   35.00   201.00   201.00   2.000E-02   1.000E-03   1.373E+01    1.284E-09     2.666E-01      0.000E+00     0.000E+00     5.801E-03      1      1    1.225      3        1    -0.021    0.000 
36.00   36.00   201.00   201.00   2.000E-02   1.000E-03   1.303E+01    1.212E-09     2.640E-01      0.000E+00     0.000E+00     5.781E-03      1      1    1.225      3        1    -0.021    0.000 
37.00   37.00   201.00   201.00   2.000E-02   1.000E-03   1.232E+01    1.146E-09     2.612E-01      0.000E+00     0.000E+00     5.759E-03      1      1    1.225      3        1    -0.021    0.000 
38.00   38.00   201.00   201.00   2.000E-02   1.000E-03   1.157E+01    1.085E-09     2.584E-01      0.000E+00     0.000E+00     5.737E-03      1      1    1.225      3        1    -0.020    0.000 
39.00   39.00   201.00   201.00   2.000E-02   1.000E-03   1.084E+01    1.029E-09     2.553E-01      0.000E+00     0.000E+00     5.713E-03      1      1    1.225      3        1    -0.020    0.000 
40.00   40.00   201.00   201.00   2.000E-02   1.000E-03   9.944E+00    9.771E-10     2.521E-01      0.000E+00     0.000E+00     5.689E-03      1      1    1.225      3        1    -0.020    0.000 
41.00   41.00   201.00   201.00   2.000E-02   1.000E-03   9.178E+00    9.289E-10     2.488E-01      0.000E+00     0.000E+00     5.664E-03      1      1    1.225      3        1    -0.020    0.000 
42.00   42.00   201.00   201.00   2.000E-02   1.000E-03   8.452E+00    8.842E-10     2.452E-01      0.000E+00     0.000E+00     5.637E-03      1      1    1.225      3        1    -0.020    0.000 
43.00   43.00   201.00   201.00   2.000E-02   1.000E-03   7.715E+00    8.425E-10     2.415E-01      0.000E+00     0.000E+00     5.609E-03      1      1    1.225      3        1    -0.020    0.000 
44.00   44.00   201.00   201.00   2.000E-02   1.000E-03   7.008E+00    8.038E-10     2.376E-01      0.000E+00     0.000E+00     5.580E-03      1      1    1.225      3        1    -0.020    0.000 
45.00   45.00   201.00   201.00   2.000E-02   1.000E-03   6.009E+00    7.676E-10     2.334E-01      0.000E+00     0.000E+00     5.550E-03      1      1    1.225      3        1    -0.020    0.000 
46.00   46.00   201.00   201.00   2.000E-02   1.000E-03   4.527E+00    7.338E-10     2.290E-01      0.000E+00     0.000E+00     5.518E-03      1      1    1.225      3        1    -0.020    0.000 
47.00   47.00   201.00   201.00   2.000E-02   1.000E-03   3.111E+00    7.021E-10     2.243E-01      0.000E+00     0.000E+00     5.485E-03      1      1    1.225      3        1    -0.020    0.000 
48.00   48.00   201.00   201.00   2.000E-02   1.000E-03   2.027E+00    6.725E-10     2.194E-01      0.000E+00     0.000E+00     5.450E-03      1      1    1.225      3        1    -0.020    0.000 
49.00   49.00   201.00   201.00   2.000E-02   1.000E-03   1.222E+00    6.446E-10     2.141E-01      0.000E+00     0.000E+00     5.413E-03      1      1    1.225      3        1    -0.019    0.000 
50.00   50.00   201.00   201.00   2.000E-02   1.000E-03   7.123E-01    6.185E-10     2.084E-01      0.000E+00     0.000E+00     5.375E-03      1      1    1.225      3        1    -0.019    0.000 
51.00   51.00   201.00   201.00   2.000E-02   1.000E-03   3.899E-01    5.939E-10     2.023E-01      0.000E+00     0.000E+00     5.334E-03      1      1    1.225      3        1    -0.019    0.000 
52.00   52.00   201.00   201.00   2.000E-02   1.000E-03   2.031E-01    5.707E-10     1.958E-01      0.000E+00     0.000E+00     5.290E-03      1      1    1.225      3        1    -0.019    0.000 
53.00   53.00   201.00   201.00   2.000E-02   1.000E-03   1.013E-01    5.488E-10     1.887E-01      0.000E+00     0.000E+00     5.244E-03      1      1    1.225      3        1    -0.019    0.000 
54.00   54.00   201.00   201.00   2.000E-02   1.000E-03   4.863E-02    5.281E-10     1.809E-01      0.000E+00     0.000E+00     5.195E-03      1      1    1.225      3        1    -0.019    0.000 
