 MDM      Mh1     Mh2      Mhc      ld345        ld         Omega       protonSI     Br(H->h1h1)    Br(H->h2h2)   Br(H->h-h+)     Width_H      HB     HS      R      v_stab     LEP    S        T   
42.00   42.00   201.00   201.00   -5.000E-01   4.000E+00   2.025E-02    5.526E-07     9.951E-01      0.000E+00     0.000E+00     8.683E-01      0      0    -0.484      2        1    -0.020    0.000 
43.00   43.00   201.00   201.00   -5.000E-01   4.000E+00   1.864E-02    5.266E-07     9.950E-01      0.000E+00     0.000E+00     8.510E-01      0      0    -0.484      2        1    -0.020    0.000 
44.00   44.00   201.00   201.00   -5.000E-01   4.000E+00   1.705E-02    5.024E-07     9.949E-01      0.000E+00     0.000E+00     8.329E-01      0      0    -0.484      2        1    -0.020    0.000 
45.00   45.00   201.00   201.00   -5.000E-01   4.000E+00   1.548E-02    4.798E-07     9.948E-01      0.000E+00     0.000E+00     8.139E-01      0      0    -0.484      2        1    -0.020    0.000 
46.00   46.00   201.00   201.00   -5.000E-01   4.000E+00   1.394E-02    4.586E-07     9.946E-01      0.000E+00     0.000E+00     7.941E-01      0      0    -0.484      2        1    -0.020    0.000 
47.00   47.00   201.00   201.00   -5.000E-01   4.000E+00   1.245E-02    4.388E-07     9.945E-01      0.000E+00     0.000E+00     7.733E-01      0      0    -0.484      2        1    -0.020    0.000 
48.00   48.00   201.00   201.00   -5.000E-01   4.000E+00   1.099E-02    4.203E-07     9.943E-01      0.000E+00     0.000E+00     7.515E-01      0      0    -0.484      2        1    -0.020    0.000 
49.00   49.00   201.00   201.00   -5.000E-01   4.000E+00   9.573E-03    4.029E-07     9.942E-01      0.000E+00     0.000E+00     7.285E-01      0      0    -0.484      2        1    -0.019    0.000 
50.00   50.00   201.00   201.00   -5.000E-01   4.000E+00   8.318E-03    3.865E-07     9.940E-01      0.000E+00     0.000E+00     7.043E-01      0      0    -0.484      2        1    -0.019    0.000 
51.00   51.00   201.00   201.00   -5.000E-01   4.000E+00   6.940E-03    3.712E-07     9.937E-01      0.000E+00     0.000E+00     6.787E-01      0      0    -0.484      2        1    -0.019    0.000 
52.00   52.00   201.00   201.00   -5.000E-01   4.000E+00   5.597E-03    3.567E-07     9.935E-01      0.000E+00     0.000E+00     6.515E-01      0      0    -0.484      2        1    -0.019    0.000 
53.00   53.00   201.00   201.00   -5.000E-01   4.000E+00   4.296E-03    3.430E-07     9.932E-01      0.000E+00     0.000E+00     6.226E-01      0      0    -0.484      2        1    -0.019    0.000 
54.00   54.00   201.00   201.00   -5.000E-01   4.000E+00   3.070E-03    3.301E-07     9.928E-01      0.000E+00     0.000E+00     5.917E-01      0      0    -0.484      2        1    -0.019    0.000 
55.00   55.00   201.00   201.00   -5.000E-01   4.000E+00   1.989E-03    3.179E-07     9.924E-01      0.000E+00     0.000E+00     5.584E-01      0      0    -0.484      2        1    -0.019    0.000 
56.00   56.00   201.00   201.00   -5.000E-01   4.000E+00   1.141E-03    3.064E-07     9.919E-01      0.000E+00     0.000E+00     5.224E-01      0      0    -0.484      2        1    -0.019    0.000 
57.00   57.00   201.00   201.00   -5.000E-01   4.000E+00   5.715E-04    2.954E-07     9.912E-01      0.000E+00     0.000E+00     4.828E-01      0      0    -0.484      2        1    -0.019    0.000 
58.00   58.00   201.00   201.00   -5.000E-01   4.000E+00   2.501E-04    2.851E-07     9.903E-01      0.000E+00     0.000E+00     4.390E-01      0      0    -0.484      2        1    -0.019    0.000 
59.00   59.00   201.00   201.00   -5.000E-01   4.000E+00   9.589E-05    2.752E-07     9.891E-01      0.000E+00     0.000E+00     3.892E-01      0      0    -0.484      2        1    -0.018    0.000 
