 Mh1       Mh2      Mhc      ld345        ld         Omega       protonSI     Br(H->h1h1)    Br(H->h2h2)   Br(H->h-h+)     Width_H      HB     HS      R      v_stab     LEP    S        T   
43.00   44.00   44.00   -1.000E-02   8.000E+00   1.292E-04    2.876E-10     6.660E-02      3.224E-02     6.448E-02     5.085E-03      1      1    -0.005      2        -8    -0.001    0.000 
44.00   45.00   45.00   -1.000E-02   8.000E+00   8.940E-05    2.744E-10     6.554E-02      3.107E-02     6.213E-02     5.057E-03      1      1    -0.005      2        -8    -0.001    0.000 
45.00   46.00   46.00   -1.000E-02   8.000E+00   1.393E-04    2.622E-10     6.440E-02      2.988E-02     5.976E-02     5.029E-03      1      1    -0.005      2        -4    -0.001    0.000 
46.00   47.00   47.00   -1.000E-02   8.000E+00   3.975E-04    2.507E-10     6.318E-02      2.868E-02     5.737E-02     5.001E-03      1      1    -0.005      2        1    -0.001    0.000 
47.00   48.00   48.00   -1.000E-02   8.000E+00   7.801E-04    2.400E-10     6.187E-02      2.747E-02     5.495E-02     4.972E-03      1      1    -0.005      2        1    -0.001    0.000 
48.00   49.00   49.00   -1.000E-02   8.000E+00   1.201E-03    2.299E-10     6.047E-02      2.625E-02     5.250E-02     4.943E-03      1      1    -0.005      2        1    -0.001    0.000 
49.00   50.00   50.00   -1.000E-02   8.000E+00   1.609E-03    2.204E-10     5.897E-02      2.501E-02     5.002E-02     4.913E-03      1      1    -0.005      2        1    -0.001    0.000 
50.00   51.00   51.00   -1.000E-02   8.000E+00   2.014E-03    2.116E-10     5.735E-02      2.375E-02     4.749E-02     4.882E-03      1      1    -0.005      2        1    -0.001    0.000 
51.00   52.00   52.00   -1.000E-02   8.000E+00   2.413E-03    2.032E-10     5.561E-02      2.246E-02     4.492E-02     4.851E-03      1      1    -0.005      2        1    -0.000    0.000 
52.00   53.00   53.00   -1.000E-02   8.000E+00   2.797E-03    1.953E-10     5.372E-02      2.115E-02     4.230E-02     4.819E-03      1      1    -0.005      2        1    -0.000    0.000 
53.00   54.00   54.00   -1.000E-02   8.000E+00   3.164E-03    1.879E-10     5.168E-02      1.980E-02     3.960E-02     4.786E-03      1      1    -0.005      2        1    -0.001    0.000 
54.00   55.00   55.00   -1.000E-02   8.000E+00   3.511E-03    1.809E-10     4.945E-02      1.841E-02     3.683E-02     4.752E-03      1      1    -0.005      2        1    -0.000    0.000 
55.00   56.00   56.00   -1.000E-02   8.000E+00   3.833E-03    1.742E-10     4.700E-02      1.697E-02     3.394E-02     4.716E-03      1      1    -0.005      2        1    -0.000    0.000 
56.00   57.00   57.00   -1.000E-02   8.000E+00   4.095E-03    1.679E-10     4.429E-02      1.546E-02     3.091E-02     4.679E-03      1      1    -0.005      2        1    -0.000    0.000 
57.00   58.00   58.00   -1.000E-02   8.000E+00   4.232E-03    1.620E-10     4.127E-02      1.385E-02     2.770E-02     4.639E-03      1      1    -0.005      2        1    -0.000    0.000 
58.00   59.00   59.00   -1.000E-02   8.000E+00   4.063E-03    1.563E-10     3.784E-02      1.210E-02     2.421E-02     4.595E-03      1      1    -0.005      2        1    -0.000    0.000 
59.00   60.00   60.00   -1.000E-02   8.000E+00   3.341E-03    1.510E-10     3.387E-02      1.015E-02     2.029E-02     4.547E-03      1      1    -0.005      2        1    -0.000    0.000 
60.00   61.00   61.00   -1.000E-02   8.000E+00   2.194E-03    1.459E-10     2.910E-02      7.808E-03     1.562E-02     4.490E-03      1      1    -0.005      2        1    -0.000    0.000 
61.00   62.00   62.00   -1.000E-02   8.000E+00   9.834E-04    1.411E-10     2.302E-02      4.497E-03     8.993E-03     4.416E-03      1      1    -0.005      2        1    -0.000    0.000 
62.00   63.00   63.00   -1.000E-02   8.000E+00   3.202E-04    1.365E-10     1.366E-02      0.000E+00     0.000E+00     4.314E-03      1      1    -0.005      2        1    -0.001    0.000 
63.00   64.00   64.00   -1.000E-02   8.000E+00   6.034E-03    1.321E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.005      2        1    -0.001    0.000 
64.00   65.00   65.00   -1.000E-02   8.000E+00   6.364E-03    1.279E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.005      2        1    -0.000    0.000 
65.00   66.00   66.00   -1.000E-02   8.000E+00   6.615E-03    1.239E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.005      2        1    -0.000    0.000 
