 Mh1    ld345       cs_(fb)   
 177.0    2.503000    9.4228E-01 
 178.0    2.509000    9.2512E-01 
 179.0    2.516000    9.0898E-01 
 180.0    2.540000    9.0130E-01 
 181.0    2.539000    8.8096E-01 
 182.0    2.570000    8.8200E-01 
 183.0    2.549000    8.4749E-01 
 184.0    2.587000    8.5215E-01 
 185.0    2.581000    8.2709E-01 
 186.0    2.599000    8.1899E-01 
 187.0    2.619000    8.1486E-01 
 188.0    2.635000    8.0439E-01 
 189.0    2.637000    7.8870E-01 
 190.0    2.651000    7.7802E-01 
 191.0    2.641000    7.5454E-01 
 192.0    2.665000    7.5174E-01 
 193.0    2.699000    7.5295E-01 
 194.0    2.702000    7.3751E-01 
 195.0    2.729000    7.3644E-01 
 196.0    2.733000    7.2280E-01 
 197.0    2.732000    7.0687E-01 
 198.0    2.752000    7.0212E-01 
 199.0    2.751000    6.8489E-01 
 200.0    2.756000    6.7320E-01 
