 Mh1    ld345       cs_(fb)   
 169    -1.00E-02    1.1542E-05 
 170    -1.00E-02    1.1235E-05 
 171    -1.00E-02    1.0946E-05 
 172    -1.00E-02    1.0641E-05 
 173    -1.00E-02    1.0347E-05 
 174    -1.00E-02    1.0084E-05 
 175    -1.00E-02    9.7947E-06 
 176    -1.00E-02    9.5448E-06 
 177    -1.00E-02    9.2859E-06 
 178    -1.00E-02    9.0562E-06 
 179    -1.00E-02    8.8179E-06 
 180    -1.00E-02    8.5815E-06 
 181    -1.00E-02    8.3547E-06 
 182    -1.00E-02    8.1382E-06 
 183    -1.00E-02    7.9326E-06 
 184    -1.00E-02    7.7315E-06 
 185    -1.00E-02    7.5350E-06 
 186    -1.00E-02    7.3550E-06 
 187    -1.00E-02    7.1476E-06 
 188    -1.00E-02    6.9785E-06 
 189    -1.00E-02    6.8075E-06 
 190    -1.00E-02    6.6510E-06 
 191    -1.00E-02    6.4750E-06 
 192    -1.00E-02    6.3031E-06 
 193    -1.00E-02    6.1537E-06 
 194    -1.00E-02    6.0143E-06 
 195    -1.00E-02    5.8633E-06 
 196    -1.00E-02    5.7193E-06 
 197    -1.00E-02    5.5745E-06 
 198    -1.00E-02    5.4513E-06 
 199    -1.00E-02    5.3145E-06 
 200    -1.00E-02    5.1892E-06 
