 Mh1       Mh2      Mhc      ld345        ld         Omega       protonSI     Br(H->h1h1)    Br(H->h2h2)   Br(H->h-h+)     Width_H      HB     HS      R      v_stab     LEP    S        T   
31.00   1000.1   1000.1   1.000E+00   3.730E+00   1.018E-02    4.113E-06     9.990E-01      0.000E+00     0.000E+00     4.057E+00      0      0    1.003      3        1    -0.022    0.000 
32.00   1000.1   1000.1   1.000E+00   3.730E+00   9.766E-03    3.855E-06     9.989E-01      0.000E+00     0.000E+00     4.013E+00      0      0    1.003      3        1    -0.022    0.000 
33.00   1000.1   1000.1   1.000E+00   3.730E+00   9.342E-03    3.620E-06     9.989E-01      0.000E+00     0.000E+00     3.968E+00      0      0    1.003      3        1    -0.022    0.000 
34.00   1000.1   1000.1   1.000E+00   3.730E+00   8.913E-03    3.406E-06     9.989E-01      0.000E+00     0.000E+00     3.920E+00      0      0    1.003      3        1    -0.022    0.000 
35.00   1000.1   1000.1   1.000E+00   3.730E+00   8.479E-03    3.210E-06     9.989E-01      0.000E+00     0.000E+00     3.871E+00      0      0    1.003      3        1    -0.022    0.000 
36.00   1000.1   1000.1   1.000E+00   3.730E+00   8.042E-03    3.030E-06     9.989E-01      0.000E+00     0.000E+00     3.819E+00      0      0    1.003      3        1    -0.022    0.000 
37.00   1000.1   1000.1   1.000E+00   3.730E+00   7.603E-03    2.865E-06     9.989E-01      0.000E+00     0.000E+00     3.766E+00      0      0    1.003      3        1    -0.022    0.000 
38.00   1000.1   1000.1   1.000E+00   3.730E+00   7.163E-03    2.713E-06     9.989E-01      0.000E+00     0.000E+00     3.710E+00      0      0    1.003      3        1    -0.022    0.000 
39.00   1000.1   1000.1   1.000E+00   3.730E+00   6.722E-03    2.573E-06     9.988E-01      0.000E+00     0.000E+00     3.651E+00      0      0    1.003      3        1    -0.022    0.000 
40.00   1000.1   1000.1   1.000E+00   3.730E+00   6.281E-03    2.443E-06     9.988E-01      0.000E+00     0.000E+00     3.590E+00      0      0    1.003      3        1    -0.022    0.000 
