 Mh1    ld345       cs_(fb)   
 177.0    2.503000    3.8375E+00 
 178.0    2.509000    3.7636E+00 
 179.0    2.516000    3.7010E+00 
 180.0    2.540000    3.6901E+00 
 181.0    2.539000    3.6076E+00 
 182.0    2.570000    3.6156E+00 
 183.0    2.549000    3.4850E+00 
 184.0    2.587000    3.5105E+00 
 185.0    2.581000    3.4167E+00 
 186.0    2.599000    3.3944E+00 
 187.0    2.619000    3.3691E+00 
 188.0    2.635000    3.3374E+00 
 189.0    2.637000    3.2723E+00 
 190.0    2.651000    3.2478E+00 
 191.0    2.641000    3.1487E+00 
 192.0    2.665000    3.1397E+00 
 193.0    2.699000    3.1592E+00 
 194.0    2.702000    3.0968E+00 
 195.0    2.729000    3.1008E+00 
 196.0    2.733000    3.0446E+00 
 197.0    2.732000    2.9802E+00 
 198.0    2.752000    2.9650E+00 
 199.0    2.751000    2.9079E+00 
 200.0    2.756000    2.8596E+00 
